s,intensity
4.69042,53.5163
5.38516,5.35999
6.16441,26.05
7,2.05845
7.87401,0.00630957
8.77496,0.499934
9.69536,0.112275
9.94987,63.0318
9.05539,2.4425
8.18535,243.885
7.34847,9.07297
6.55744,852.949
5.83095,17.5726
5.19615,3547.55
4.69042,26.4328
4.3589,2576.22
4.24264,32.089
4.3589,1680.5
4.69042,17.6868
5.19615,3276
5.83095,7.24603
6.55744,1089.13
7.34847,2.00632
8.18535,236.396
9.05539,0.32783
9.94987,61.283
9.43398,1.14855
8.60233,1.17477
7.81025,4.27402
7.07107,18.88
6.40312,10.8097
5.83095,0.139304
5.38516,24.7155
5.09902,258.001
5,27.6431
5.09902,84.8604
5.38516,20.5346
5.83095,37.011
6.40312,12.3011
7.07107,23.8547
7.81025,4.45454
8.60233,0.00380289
9.43398,1.10944
9.89949,1.08378
9.11043,147.945
8.3666,3.47961
7.68115,474.671
7.07107,9.02947
6.55744,552.467
6.16441,13.6731
5.91608,1701.53
5.83095,11.1212
5.91608,2194.9
6.16441,8.02106
6.55744,624.321
7.07107,3.42815
7.68115,392.758
8.3666,0.884299
9.11043,154.776
9.89949,0.149425
9.69536,0.025834
9,3.67697
8.3666,4.26881
7.81025,10.3875
7.34847,0.18226
7,17.2859
6.78233,29.8491
6.7082,21.7363
6.78233,16.4146
7,18.7189
7.34847,7.33318
7.81025,9.98581
8.3666,2.62518
9,3.67806
9.69536,0.00691441
9.69536,1.14184
9.11043,121.078
8.60233,2.45396
8.18535,351.238
7.87401,3.59811
7.68115,388.913
7.61577,3.8783
7.68115,335.637
7.87401,2.40302
8.18535,339.809
8.60233,0.966468
9.11043,134.217
9.69536,0.260027
9.89949,0.00956203
9.43398,4.2592
9.05539,0.0679381
8.77496,7.95535
8.60233,1.60632
8.544,9.74884
8.60233,0.11866
8.77496,7.85856
9.05539,0.0456983
9.43398,4.33777
9.89949,0.162028
9.94987,53.3582
9.69536,0.754772
9.53939,85.1658
9.48683,0.724697
9.53939,87.7815
9.69536,0.461363
9.94987,54.157
9.69536,4.30131
9.43398,0.028709
9.27362,6.31983
9.21954,0.412803
9.27362,6.3888
9.43398,0.27481
9.69536,4.29091
9.64365,0.56311
9.16515,125.643
8.77496,1.03508
8.48528,182.207
8.30662,1.11967
8.24621,285.717
8.30662,0.755654
8.48528,253.537
8.77496,0.353803
9.16515,108.381
9.64365,0.0897749
9.43398,0.164822
8.83176,5.71875
8.30662,0.60704
7.87401,12.7692
7.54983,0.078838
7.34847,19.6255
7.28011,6.55856
7.34847,19.1213
7.54983,0.921743
7.87401,12.9046
8.30662,0.258817
8.83176,5.84811
9.43398,0.187567
9.43398,0.914825
8.7178,175.259
8.06226,2.43568
7.48331,484.589
7,3.957
6.63325,1021.51
6.40312,4.67129
6.32456,1067.9
6.40312,3.36036
6.63325,826.486
7,1.35473
7.48331,537.639
8.06226,0.385353
8.7178,187.392
9.43398,0.056075
9.64365,0.0191483
8.83176,2.96667
8.06226,0.0843657
7.34847,9.96303
6.7082,0.000189664
6.16441,21.6214
5.74456,0.141592
5.47723,32.4161
5.38516,1.08308
5.47723,33.6306
5.74456,0.00680276
6.16441,22.0197
6.7082,0.00102607
7.34847,9.78158
8.06226,0.0336035
8.83176,2.99798
9.64365,0.000471431
9.16515,130.306
8.30662,2.47532
7.48331,457.416
6.7082,6.96376
6,1289.89
5.38516,11.2619
4.89898,3218.98
4.58258,11.7032
4.47214,2795.63
4.58258,9.18168
4.89898,2004.87
5.38516,4.16417
6,1611.07
6.7082,1.0387
7.48331,526.695
8.30662,0.143892
9.16515,118.147
9.69536,0.487652
8.77496,0.135974
7.87401,2.20471
7,3.30607
6.16441,8.06419
5.38516,80.6996
4.69042,19.8199
4.12311,0.165571
3.74166,24.4621
3.60555,364.403
3.74166,25.152
4.12311,102.309
4.69042,18.0328
5.38516,29.9175
6.16441,8.12344
7,9.9752
7.87401,2.42961
8.77496,0.00111456
9.69536,0.477797
9.43398,1.1855
8.48528,194.141
7.54983,4.61817
6.63325,1232.91
5.74456,10.3831
4.89898,3053.66
4.12311,23.2533
3.4641,1527.73
3,26.5357
2.82843,7387.45
3,14.3322
3.4641,8319.41
4.12311,7.07816
4.89898,1407.38
5.74456,1.8397
6.63325,831.665
7.54983,0.300128
8.48528,276.139
9.43398,0.0190052
9.27362,0.0736593
8.30662,1.3387
7.34847,0.583878
6.40312,22.8109
5.47723,1.08334
4.58258,405.679
3.74166,1.4185
3,0.000548929
2.44949,6.91017
2.23607,2056.62
2.44949,4.97526
3,524.939
3.74166,2.65676
4.58258,152.781
5.47723,1.28232
6.40312,56.6945
7.34847,0.362264
8.30662,0.000551448
9.27362,0.0866448
9.21954,1.31468
8.24621,340.996
7.28011,5.61681
6.32456,716.162
5.38516,18.0128
4.47214,2319.2
3.60555,21.6614
2.82843,13930.3
2.23607,23.9812
2,4476.25
2.23607,24.073
2.82843,1650.32
3.60555,8.86606
4.47214,5612.49
5.38516,2.48406
6.32456,1325.42
7.28011,0.312341
8.24621,215.165
9.21954,0.0194307
9.27362,0.0736593
8.30662,1.3387
7.34847,0.583878
6.40312,22.8109
5.47723,1.08334
4.58258,405.679
3.74166,1.4185
3,0.000548929
2.44949,6.91017
2.23607,2056.62
2.44949,4.97526
3,524.939
3.74166,2.65676
4.58258,152.781
5.47723,1.28232
6.40312,56.6945
7.34847,0.362264
8.30662,0.000551448
9.27362,0.0866448
9.43398,1.1855
