s,intensity
2.87057,2612.74
2.87237,2571.38
2.87417,2529.82
2.87598,2487.76
2.87778,2445.57
2.87958,2402.99
2.88138,2361.9
2.88318,2321.21
2.88498,2280.4
2.88678,2239.53
2.88858,2198.18
2.89038,2157.7
2.89218,2119.04
2.89398,2078.48
2.89578,2038.18
2.89758,1999.17
2.89938,1963.25
2.90118,1925.55
2.90298,1886.65
2.90478,1850.07
2.90658,1814.01
2.90838,1776.98
2.91018,1739.55
2.91198,1705.37
2.91378,1670.51
2.91558,1636.2
2.91738,1601.75
2.91918,1568.37
2.92098,1533.91
2.92278,1500.05
2.92458,1467.53
2.92639,1435.83
2.92819,1403.91
2.92999,1374.37
2.93179,1343.13
2.93359,1310.61
2.93539,1281.51
2.93719,1249.34
2.93899,1219.92
2.94079,1192.52
2.94259,1163.28
2.94439,1135.16
2.94619,1107.83
2.94799,1081.15
2.94979,1055.12
2.95159,1027.51
2.95339,1002.04
2.95519,975.897
2.95699,951.402
2.95879,927.331
2.96059,903.833
2.96239,881.142
2.96419,858.068
2.96599,836.729
2.96779,815.574
2.96959,795.471
2.97139,776.271
2.97319,757.081
2.975,739.257
2.9768,719.834
2.9786,702.304
2.9804,687.004
2.9822,671.146
2.984,657.266
2.9858,643.239
2.9876,630.924
2.9894,618.556
2.9912,606.856
2.993,595.847
2.9948,586.304
2.9966,577.561
2.9984,569.006
3.0002,561.264
3.002,555.4
3.0038,550.968
3.0056,544.472
3.0074,540.195
3.0092,536.858
3.011,532.45
3.0128,531.476
3.0146,530.811
3.0164,530.494
3.0182,530.92
3.02,532.942
3.0218,532.873
3.0236,534.174
3.0254,535.825
3.02721,539.303
3.02901,543.656
3.03081,547.628
3.03261,552.547
3.03441,556.295
3.03621,560.841
3.03801,568.053
3.03981,574.517
3.04161,580.252
3.04341,586.509
3.04521,593.135
3.04701,599.87
3.04881,606.495
3.05061,614.459
3.05241,619.923
3.05421,628.31
3.05601,636.543
3.05781,643.549
3.05961,651.073
3.06141,658.492
3.06321,665.429
3.06501,672.36
3.06681,677.5
3.06861,685.513
3.07041,691.934
3.07221,699.225
3.07401,705.906
3.07582,712.378
3.07762,716.555
3.07942,722.602
3.08122,728.049
3.08302,732.536
3.08482,737.538
3.08662,742.743
3.08842,746.969
3.09022,749.615
3.09202,753.092
3.09382,755.611
3.09562,759.487
3.09742,762.391
3.09922,763.835
3.10102,764.727
3.10282,767.276
3.10462,767.548
3.10642,769.037
3.10822,770.974
3.11002,769.987
3.11182,769.227
3.11362,769.234
3.11542,768.753
3.11722,765.919
3.11902,764.561
3.12082,762.376
3.12262,761.04
3.12442,759.646
3.12623,757.52
3.12803,754.205
3.12983,749.856
3.13163,746.846
3.13343,743.922
3.13523,740.325
3.13703,735.302
3.13883,731.332
3.14063,725.672
3.14243,721.031
3.14423,716.95
3.14603,712.415
3.14783,706.876
3.14963,700.841
3.15143,695.63
3.15323,689.812
3.15503,683.599
3.15683,678.142
3.15863,670.918
3.16043,664.95
3.16223,659.218
3.16403,652.876
3.16583,646.628
3.16763,639.126
3.16943,632.994
3.17123,626.216
3.17303,619.443
3.17483,612.625
3.17664,606.48
3.17844,599.025
3.18024,592.26
3.18204,585.508
3.18384,579.216
3.18564,572.069
3.18744,564.522
3.18924,557.741
3.19104,551.572
3.19284,545.328
3.19464,538.562
3.19644,532.154
3.19824,524.874
3.20004,518.857
3.20184,511.787
3.20364,505.858
3.20544,500.256
3.20724,492.946
3.20904,486.388
3.21084,480.55
3.21264,475.665
3.21444,469.485
3.21624,463.462
3.21804,458.245
3.21984,452.751
3.22164,447.433
3.22344,442.023
3.22524,437.014
3.22705,429.614
3.22885,424.943
3.23065,421.157
3.23245,416.746
3.23425,412.106
3.23605,406.782
3.23785,402.625
3.23965,398.316
3.24145,394.716
3.24325,390.386
3.24505,385.755
3.24685,381.963
3.24865,378.675
3.25045,375.797
3.25225,371.048
3.25405,368.47
3.25585,364.926
3.25765,361.645
3.25945,358.759
3.26125,357.599
3.26305,354.244
3.26485,351.528
3.26665,349.656
3.26845,347.399
3.27025,345.573
3.27205,343.349
3.27385,341.353
3.27566,339.835
3.27746,339.201
3.27926,337.566
3.28106,336.884
3.28286,335.604
3.28466,334.354
3.28646,334.011
3.28826,334.002
3.29006,334.06
3.29186,333.946
3.29366,333.367
3.29546,333.446
3.29726,334.732
3.29906,334.615
3.30086,334.909
3.30266,335.789
3.30446,337.812
3.30626,339.055
3.30806,339.673
3.30986,340.576
3.31166,342.398
3.31346,343.589
3.31526,344.643
3.31706,345.911
3.31886,348.448
3.32066,350.742
3.32246,353.088
3.32426,354.892
3.32607,356.347
3.32787,358.008
3.32967,359.16
3.33147,363.423
3.33327,365.326
3.33507,366.763
3.33687,368.513
3.33867,370.834
3.34047,372.468
3.34227,374.604
3.34407,375.897
3.34587,377.27
3.34767,379.716
3.34947,381.323
3.35127,382.184
3.35307,383.678
3.35487,384.06
3.35667,386.403
3.35847,387.652
3.36027,387.567
3.36207,388.124
3.36387,387.965
3.36567,389.656
3.36747,389.213
3.36927,389.178
3.37107,389.097
3.37287,388.644
3.37467,388.855
3.37648,387.553
3.37828,387.225
3.38008,386.934
3.38188,385.598
3.38368,383.813
3.38548,382.533
3.38728,381.582
3.38908,381.443
3.39088,380.032
3.39268,377.556
3.39448,375.999
3.39628,374.699
3.39808,374.035
3.39988,372.551
3.40168,371.351
3.40348,369.049
3.40528,367.996
3.40708,367.408
3.40888,367.237
3.41068,365.676
3.41248,364.003
3.41428,363.692
3.41608,364.089
3.41788,364.022
3.41968,363.626
3.42148,364.385
3.42328,366.105
3.42509,366.314
3.42689,367.481
3.42869,368.174
3.43049,370.198
